     Depth,     GAMMA,  RES(16N),  RES(64N),   NEUTRON,Outcome
67.8,115.8,81.2,179.134,541,Hard_water
68,121.7,82.6,185.827,548.9,Hard_water
68.3,118.2,95,185.827,550.2,Hard_water
68.5,118.5,98.7,194.488,570.3,Hard_water
68.8,115.2,99.5,194.488,578.7,Hard_water
69,117,77.4,196.457,545,Hard_water
69.3,119.7,54.6,199.213,517.7,Hard_water
69.5,116.3,89.7,198.425,533.8,Hard_water
69.8,114.2,90.9,198.425,550.5,Hard_water
70,106.9,87.2,198.425,557.4,Hard_water
70.3,100.7,90.3,194.488,564.7,Hard_water
70.5,101.1,101.3,194.488,588.5,Hard_water
70.8,98.8,100.9,194.488,558.5,Hard_water
71,105.4,80,194.488,487.3,Hard_water
71.3,115.7,70.4,186.614,478.9,Hard_water
71.5,117.6,64.4,186.614,491.6,Hard_water
71.8,110,76.5,186.614,503.9,Hard_water
72,104.8,98.2,186.614,545.8,Hard_water
72.3,105.8,93,186.614,533.7,Hard_water
72.5,113.3,82.7,186.614,513,Hard_water
72.8,113.9,94.4,186.614,526.2,Hard_water
73,110.7,93.5,173.228,533.5,Hard_water
73.3,108.1,80.3,173.228,560.1,Hard_water
73.5,99.7,95.2,173.228,575.1,Hard_water
73.8,98.7,98,173.228,548.6,Hard_water
74,103.6,96.6,173.228,477.9,Hard_water
74.3,102.6,94.8,173.228,469.3,Hard_water
74.5,107.3,94.1,173.228,534.7,Hard_water
74.8,102.2,93.8,173.228,539.1,Hard_water
75,106.8,93.6,173.228,502.6,Hard_water
75.3,106.8,90.8,159.055,506.8,Hard_water
75.5,108.5,87.3,157.874,499.2,Hard_water
75.8,107.2,91.9,159.843,476.4,Hard_water
76,104.4,92.8,161.811,469.4,Hard_water
76.3,105.8,92.5,163.78,472.7,Hard_water
76.5,101,92.3,163.78,478.4,Hard_water
76.8,102.6,94.2,168.504,477.6,Hard_water
77,108.6,92.2,171.26,519.3,Hard_water
77.3,111.4,86.7,171.26,544.5,Hard_water
77.5,107.9,71.9,171.26,532.6,Hard_water
77.8,108.2,79.2,174.409,519.6,Hard_water
78,102.6,93,175.197,493.5,Hard_water
78.3,106.3,93.1,175.197,492.1,Hard_water
78.5,111.8,93.2,174.409,481.2,Hard_water
78.8,112,92.9,173.228,474.5,Hard_water
79,114.4,94.7,172.441,483.1,Hard_water
79.3,106.9,94.3,170.472,495.1,Hard_water
79.5,116.2,95.1,169.685,506.1,Hard_water
79.8,116.2,79.3,169.685,487.9,Hard_water
80,117.6,78.8,170.472,495.1,Hard_water
80.3,115.1,76.9,171.26,505.6,Hard_water
80.5,112.7,72.3,171.26,491.9,Hard_water
80.8,118.4,74.9,174.409,508,Hard_water
81,121.5,72.8,177.165,511.4,Hard_water
81.3,124.1,75.5,179.134,515.9,Hard_water
81.5,121.9,83.1,183.071,542.9,Hard_water
81.8,118.1,95.4,183.071,544.1,Hard_water
82,120.3,93.9,179.921,548.1,Hard_water
82.3,111.6,97.3,177.165,558.9,Hard_water
82.5,113.8,95.7,169.685,585.9,Hard_water
82.8,109.6,97.7,169.685,581.5,Hard_water
83,112.5,96.8,166.535,558.5,Hard_water
83.3,114,83.9,164.567,548.8,Hard_water
83.5,118.5,97.3,164.567,556.7,Hard_water
83.8,117.7,97.8,164.567,559.9,Hard_water
84,114,95.9,165.748,511.6,Hard_water
84.3,108.5,94.1,172.441,487.5,Hard_water
84.5,107.9,93.7,177.953,489.7,Hard_water
84.8,107.6,62.8,184.646,489.1,Hard_water
85,112.3,65.9,188.583,510.2,Hard_water
85.3,111.5,70,195.276,557.1,Hard_water
85.5,112,86.5,188.583,667.2,Hard_water
85.8,112.4,95.3,188.583,673.8,Hard_water
86,116.5,95.5,188.583,569.9,Hard_water
86.3,118.2,93.7,188.583,516,Hard_water
86.5,118.7,91.9,188.583,514,Hard_water
86.8,116.4,88.2,188.583,506.1,Hard_water
87,117.5,90,171.26,463.3,Hard_water
87.3,114.2,90,167.717,467.8,Hard_water
87.5,116.9,88.1,169.685,470.8,Hard_water
87.8,109.4,70.8,170.472,472,Hard_water
88,106.3,76.1,170.472,461.1,Hard_water
88.3,108.5,77.4,164.567,438.9,Hard_water
88.5,98.5,77.2,165.748,434.3,Hard_water
88.8,102.4,80.1,167.717,439.4,Hard_water
89,106.1,68.4,167.717,430.6,Hard_water
89.3,110.8,74.9,171.26,422.6,Hard_water
89.5,110,78.3,172.441,412.6,Hard_water
89.8,108.7,80,173.228,417.1,Hard_water
90,103,80.5,172.441,433.3,Hard_water
90.3,106.9,80,172.441,436.7,Hard_water
90.5,104.5,80.1,170.472,427.7,Hard_water
90.8,103,80.1,170.472,416.5,Hard_water
91,100.9,80.6,164.567,404.7,Hard_water
91.3,101.9,80.8,164.567,417.7,Hard_water
91.5,103.6,82.7,163.78,455.8,Hard_water
91.8,96,86.4,163.78,525.5,Hard_water
92,97.2,89.2,175.197,625,Hard_water
92.3,97.7,90.7,172.441,590.1,Hard_water
92.5,102.9,88.1,169.685,544.4,Hard_water
92.8,112.6,86.3,165.748,541.9,Hard_water
93,112.8,84.2,165.748,523.8,Hard_water
93.3,110.9,83.2,159.843,519.7,Hard_water
93.5,106.7,83.1,159.843,518.2,Hard_water
93.8,103.3,84.8,162.992,532.5,Hard_water
94,106.8,84.2,163.78,528.2,Hard_water
94.3,108.5,78.2,156.9,506.8,Hard_water
94.5,111.3,64.4,171.2,516.2,Hard_water
94.8,107.7,60.6,171.3,533.7,Hard_water
95,107.5,62.3,115.4,518.7,Hard_water
95.3,113.7,64,111.6,493.1,Hard_water
95.5,117,53.6,82.5,480.2,Hard_water
95.8,115.9,48.4,64.7,468.9,Hard_water
96,116.9,42,49.7,466.2,Hard_water
96.3,114.3,37,46.5,476.9,Dry
96.5,110,33.9,46,470,Dry
96.8,113.1,33.6,45.6,470,Dry
97,109.6,34.7,37.4,484.3,Dry
97.3,103.4,37,40.3,510.9,Dry
97.5,97.6,34.5,38,515.1,Dry
97.8,99.4,31.6,39.1,487.3,Dry
98,101.8,28.5,39,461.3,Dry
98.3,103.7,29.5,37.6,457.4,Dry
98.5,108.6,31.5,36.9,476.5,Dry
98.8,106.8,31.9,36.4,485.6,Dry
99,104.8,31.7,36.1,469.6,Dry
99.3,104,31.1,35.2,459.9,Dry
99.5,105.8,29,34.5,431.1,Dry
99.8,108,27.6,35.1,428.6,Dry
100,113.8,26.3,33,450.4,Dry
100.3,110.2,26.9,36.8,457.2,Dry
100.5,111.7,27.6,33.6,460.7,Dry
100.8,106.4,27.8,32.2,456.4,Dry
101,103.1,27.8,31.4,484.5,Dry
101.3,106,25.9,33,492.1,Dry
101.5,115.8,24.5,29.3,469.2,Dry
101.8,117.1,24.6,28.6,471.5,Dry
102,115.1,23.7,29,492,Dry
102.3,119,22.7,26.9,479.2,Dry
102.5,122.8,23.4,32.5,479.2,Dry
102.8,121.7,22.8,31.9,508,Dry
103,117.3,23.2,33.4,506.6,Dry
103.3,115.1,23.5,28.2,497.3,Dry
103.5,110.5,22.9,28.2,499.5,Dry
103.8,110.5,22.3,27.6,492.3,Dry
104,115.5,22.2,31.2,509.2,Dry
104.3,111.3,23.6,28.7,527.6,Dry
104.5,111.2,22.7,32.6,538.8,Dry
104.8,106.1,23.2,32,528.5,Dry
105,110.6,22.9,33.1,511.1,Dry
105.3,108.8,21.7,34.2,512.9,Dry
105.5,108.1,21.5,34.2,502.8,Dry
105.8,112.9,21.5,34.4,495.4,Dry
106,109,22.5,35.4,484.3,Dry
106.3,109.4,22.3,34,481.5,Dry
106.5,114.6,23.3,36.1,502.1,Dry
106.8,114.2,23.7,34,509.3,Dry
107,114.5,23.7,32,486.5,Dry
107.3,111,22.5,29.6,484.5,Dry
107.5,109,19.7,27.5,482.4,Dry
107.8,107.8,18.7,27.7,473.3,Dry
108,111.5,19.3,32,473.2,Dry
108.3,110.8,19.6,24.2,464.6,Dry
108.5,110.5,19.6,29.4,456.3,Dry
108.8,109.6,20.1,32.4,461.9,Dry
109,107.9,20.3,29.7,473.2,Dry
109.3,111.5,20.6,29.9,480,Dry
109.5,104.6,20.6,30.8,464.7,Dry
109.8,110.3,20.5,32,469.1,Dry
110,109.3,21,30.4,476.3,Dry
110.3,115,21.5,30,464,Dry
110.5,110.2,21.1,29.1,455.8,Dry
110.8,113.8,20.9,28.7,462.3,Dry
111,106.3,20.5,28.3,468.9,Dry
111.3,106.7,20.3,27.9,453.4,Dry
111.5,107.2,20.5,28.6,452.8,Dry
111.8,107.3,20.3,29.8,471.3,Dry
112,112.3,20.2,21.9,465.8,Dry
112.3,110.2,19.8,30.8,468.4,Dry
112.5,108.5,19.6,34.1,466.4,Dry
112.8,106.9,20.6,30.9,449.2,Dry
113,99,21.7,33.3,436.1,Dry
113.3,105,20.9,17.2,437.2,Dry
113.5,110.1,20.5,24.5,463.2,Dry
113.8,106,19.2,26,446.7,Dry
114,102,19.6,26.1,429.8,Dry
114.3,96.1,17.9,25.5,441.8,Dry
114.5,95.7,17,21,421.9,Dry
114.8,100.5,16.1,28.8,412,Dry
115,101.1,18.5,24.3,414.9,Dry
115.3,102.2,16.8,22.5,417.8,Dry
115.5,98.5,16.5,31.6,407.1,Dry
115.8,97.8,19.3,34.5,400.2,Dry
116,94.4,16.7,24,418.4,Dry
116.3,98.4,21.1,26.8,417.1,Dry
116.5,103.8,20.1,28,418.7,Dry
116.8,107.1,19.2,22.9,437.4,Dry
117,114,18.2,29.7,438.1,Dry
117.3,111,21.6,27.1,431.9,Dry
117.5,107.9,16.8,28.8,423.2,Dry
117.8,103.8,15.5,27.7,426.8,Dry
118,103.3,17.8,27.8,445.2,Dry
118.3,103.6,20.3,27.2,452.1,Dry
118.5,103.5,18.1,29.5,441.7,Dry
118.8,103,15.7,29.1,429.7,Dry
119,100.9,20.4,28.3,417,Dry
119.3,101.2,20.8,28.3,410,Dry
119.5,102.9,20.1,28.4,411.8,Dry
119.8,102.1,19.9,22.4,417,Dry
120,102.6,19.5,23.1,408.7,Dry
120.3,106,19,20.5,405.6,Dry
120.5,103.8,22.1,32.5,414.7,Dry
120.8,102.1,18.6,22.6,420.1,Dry
121,103.6,18.5,20.7,405.9,Dry
121.3,104.1,19,24.5,394.7,Dry
121.5,101.8,17.5,21.2,394.3,Dry
121.8,104.4,18,22.9,396.9,Dry
122,104.2,18.3,24.6,388,Dry
122.3,102.7,18.8,17,376.7,Dry
122.5,106,16.6,20.9,398.1,Dry
122.8,106.2,16.1,21.2,404.9,Dry
123,101.1,17.1,22.2,389.4,Dry
123.3,100.2,19.2,24.8,396.2,Dry
123.5,98.6,20.4,17.1,424.2,Dry
123.8,101.8,18.2,21.8,421.7,Dry
124,95.3,18.5,20.8,405.2,Dry
124.3,93,16.7,13.2,399,Dry
124.5,86.3,16,18.4,385.1,Dry
124.8,91.4,15.7,15.6,388.9,Dry
125,90.2,16.1,25.3,388.1,Dry
125.3,89.2,15.6,27.6,380.7,Dry
125.5,88.3,15.5,27.4,383.4,Dry
125.8,91.4,15.6,9.4,382.3,Dry
126,96.1,17.4,22.3,396,Dry
126.3,92.6,12.4,23,391.3,Dry
126.5,96.8,14.6,11.6,380,Dry
126.8,96.8,15.9,23.7,389.9,Dry
127,96.6,12.2,8.3,395.7,Dry
127.3,101.8,14.4,14.8,393,Dry
127.5,96.8,15.5,20.6,383.7,Dry
127.8,97.4,18.2,17.1,375,Dry
128,97.6,17.1,17.9,374.6,Dry
128.3,97.5,19.7,24.1,380.9,Dry
128.5,101,14.9,16,371.4,Dry
128.8,101.8,16.5,17.3,372,Dry
129,95.3,15.7,15.2,382.6,Dry
129.3,96.7,15,16.1,396.3,Dry
129.5,94.8,15.1,23.8,401.5,Dry
129.8,97.4,15.8,27.7,381.7,Dry
130,99.5,18.2,15,361.8,Dry
130.3,97.1,15.3,33.8,372.6,Dry
130.5,91.5,16.6,21.8,384,Dry
130.8,91.8,16.5,20.2,373.2,Dry
131,98.9,17.7,19.7,382.9,Dry
131.3,95.4,19.7,23,391.2,Dry
131.5,93.5,18.7,27.9,402.2,Dry
131.8,96,23,29.5,399.1,Dry
132,94.2,25.4,22.4,377.4,Dry
132.3,94.2,21.8,21.2,387.4,Dry
132.5,94.7,23.6,23.4,398.9,Dry
132.8,94.7,24.6,22.5,402.6,Dry
133,90.3,21.4,19.2,398.2,Dry
133.3,91.5,19.9,13.9,389.7,Dry
133.5,93.4,19.4,24.8,400.6,Dry
133.8,90.5,21.3,21.8,386.5,Dry
134,93.5,20.6,18.7,362.3,Dry
134.3,99.1,19.2,23.5,369.3,Dry
134.5,97.2,19.9,24.2,372.9,Dry
134.8,96,18.2,24.8,371.3,Dry
135,89.5,20.9,20.6,385.7,Dry
135.3,89.4,19.5,22.9,377.1,Dry
135.5,87.5,19.1,19.6,356.9,Dry
135.8,90.9,18.4,18.5,369.8,Dry
136,88.9,18.8,22.3,379.3,Dry
136.3,88.5,16.2,22.3,372.2,Dry
136.5,88,19.4,19.2,364.4,Dry
136.8,86.5,20.5,23.5,354.9,Dry
137,92.7,21.1,23.1,345,Dry
137.3,93,20.6,31,362.5,Dry
137.5,97.6,20.3,23.3,381.3,Dry
137.8,92.8,20.7,29.2,370.5,Dry
138,90.8,21.3,25,358.5,Dry
138.3,87.5,23,24,354.4,Dry
138.5,89.5,23,23.2,373.1,Dry
138.8,89.5,22,28.1,378,Dry
139,91.3,22.8,18.5,358.9,Dry
139.3,90.1,23.5,20.2,363.1,Dry
139.5,92.3,25.9,35.1,357.3,Dry
139.8,92.2,22.9,24.5,348.3,Dry
140,95.1,21.7,24,352.2,Dry
140.3,95.4,23.7,23.9,357,Dry
140.5,97.1,21.7,24.4,354.4,Dry
140.8,97.9,21.3,23.2,344.4,Dry
141,96.9,20.6,23.4,349.4,Dry
141.3,94.5,19.8,23.4,355.7,Dry
141.5,94.9,20.1,29.6,351.8,Dry
141.8,95.1,20.2,31.4,357.9,Dry
142,95.6,20.8,29.4,354.6,Dry
142.3,97,21.4,20.7,347.2,Dry
142.5,92.8,20.2,29,358,Dry
142.8,94.4,18.7,25.9,368.4,Dry
143,90.2,19.1,22.3,349.4,Dry
143.3,90.3,23.8,23,339.8,Dry
143.5,89.6,18.8,22.3,348.8,Dry
143.8,95.3,17.6,22.5,360.1,Dry
144,101,19.8,22.4,356.5,Dry
144.3,100.1,19.3,22.3,352.7,Dry
144.5,95.2,19.1,22.2,368.1,Dry
144.8,92.3,18.5,21.5,375.1,Dry
145,92.3,17.7,20.7,351.8,Dry
145.3,91.9,17.2,20.9,336.3,Dry
145.5,90.8,17.2,21.9,365.3,Dry
145.8,91.4,17.5,21.4,373.1,Dry
146,91,17.9,22,358.7,Dry
146.3,90.1,18,22.1,354.4,Dry
146.5,91.7,18.3,22,341.9,Dry
146.8,94.7,18.3,22.8,341.7,Dry
147,95.8,18.7,22.7,354.9,Dry
147.3,97.5,19.3,21.8,350.7,Dry
147.5,93.4,19,20.7,359.6,Dry
147.8,89.5,18.4,20.5,368.6,Dry
148,88,17.8,20,375.4,Dry
148.3,87.1,17.9,19.2,371.9,Dry
148.5,86.9,18,18.8,355.5,Dry
148.8,86.3,17.7,19.6,369,Dry
149,86.2,17.6,19,374.1,Dry
149.3,89.9,17.6,19.7,358.3,Dry
149.5,98.7,18,19.7,355.8,Dry
149.8,97,18.1,20.7,362.8,Dry
150,97.9,17.8,20.2,357.7,Dry
150.3,92.5,18.1,20.7,361.4,Dry
150.5,85.8,20.1,20.5,391.9,Dry
150.8,86.2,20.5,20.2,384.7,Dry
151,87.1,18.9,20.1,354.2,Dry
151.3,93.5,18,19.7,351.4,Dry
151.5,95.4,17.6,19.7,353.2,Dry
151.8,95.6,17.7,19.4,350.5,Dry
152,94.4,18.1,20,353.6,Dry
152.3,95.6,18.3,20.5,354.5,Dry
152.5,96.9,19,20.8,349.5,Dry
152.8,95.4,19.4,21.1,347.9,Dry
153,96.3,19.1,20.8,359.2,Dry
153.3,93.5,18.6,20.2,373.5,Dry
153.5,93.5,18,19.7,365.6,Dry
153.8,94.2,17.5,19.7,361.6,Dry
154,98.1,17.4,19,377.4,Dry
154.3,97.3,17.4,18.6,370,Dry
154.5,101.6,17,18.3,348.6,Dry
154.8,97.6,16.9,16.6,343.9,Dry
155,98.1,16.7,17.9,340.3,Dry
155.3,100,16.4,18.7,345.2,Dry
155.5,95.6,16.9,19.5,347.9,Dry
155.8,97.7,17.6,20,352,Dry
156,96.1,17.3,22.9,370,Dry
156.3,94.2,17.4,16.5,362.9,Dry
156.5,95.9,16.6,17.6,357,Dry
156.8,91.5,16.8,18.5,366.2,Dry
157,88.3,16.4,19.7,361.8,Dry
157.3,88.2,15.2,20.8,358.8,Dry
157.5,86.5,16.6,22.9,356.1,Dry
157.8,88.9,16.4,18.9,357.3,Dry
158,88.2,17.8,20.7,359.2,Dry
158.3,88.7,18.2,20.4,356.3,Dry
158.5,83.7,18.7,19,365.4,Dry
158.8,83.4,17.7,18.8,365.4,Dry
159,81.3,17.2,20.5,347.7,Dry
159.3,88.3,16.2,17.9,342,Dry
159.5,93.1,16.8,18.9,355.6,Dry
159.8,92.9,18.2,17.6,364.6,Dry
160,91.4,18.8,20.8,362.1,Dry
160.3,89.1,18.3,20.2,360.4,Dry
160.5,85.6,19,20.5,349.3,Dry
160.8,89.7,19.2,17.6,358.2,Dry
161,94,18.4,20.5,367.9,Dry
161.3,95.8,17.6,21,358.6,Dry
161.5,104.5,17.8,18,367.9,Dry
161.8,102.4,18.3,22.1,362.3,Dry
162,94.9,17.6,20,346.3,Dry
162.3,92.2,17.7,19.7,359.9,Dry
162.5,91.9,18.3,18.4,371.1,Dry
162.8,88,18.5,20.1,356.2,Dry
163,100.3,18.6,20.6,349.9,Dry
163.3,96.2,19.1,21.9,354.4,Dry
163.5,105.3,19.8,22.8,353.9,Dry
163.8,105.5,20.7,19.7,356.4,Dry
164,102.9,20,22.3,360.5,Dry
164.3,103.1,19.8,24.1,356.2,Dry
164.5,96.1,19.5,21.9,360.1,Dry
164.8,91.8,19.3,20.3,356.7,Dry
165,85.7,18.8,20.5,366.4,Dry
165.3,86.1,19.2,20.1,371.1,Dry
165.5,86.1,18.9,19.2,369,Dry
165.8,89.5,18.4,20.2,362.5,Dry
166,91,16.5,18.4,344.2,Dry
166.3,87.3,17.3,20.6,341.2,Dry
166.5,92,16.7,17,355.8,Dry
166.8,95.5,17.4,18.1,374.4,Dry
167,94.7,15.3,19.5,359.1,Dry
167.3,96.2,16.3,16.5,349.8,Dry
167.5,86.6,16.2,18.2,348.7,Dry
167.8,87.5,16.3,18,362.4,Dry
168,90.6,16.3,17.1,369.8,Dry
168.3,97.7,16.3,19.7,362.5,Dry
168.5,102,15.2,18,354.6,Dry
168.8,103.4,15.9,17.5,344.1,Dry
169,101.1,15.9,14.5,343.7,Dry
169.3,105.5,15.9,18.3,353.4,Dry
169.5,107.2,15.4,18.2,357.6,Dry
169.8,102.3,15.4,16.4,349.3,Dry
170,97.7,16,19.7,351.3,Dry
170.3,90.9,14.9,14.8,362,Dry
170.5,91.4,15.9,21.6,359,Dry
170.8,91,15,13.8,354.9,Dry
171,90.1,15,17.1,360.9,Dry
171.3,92.4,14.5,17.2,354.2,Dry
171.5,92.5,14.8,15.4,356.4,Dry
171.8,93,14.1,18.1,361.5,Dry
172,91,15.1,19.3,365.5,Dry
172.3,90.5,14,16.8,366.2,Dry
172.5,91,14.4,16.1,354.2,Dry
172.8,91.2,13.4,17.7,362.2,Dry
173,95.4,13.6,18.2,367.9,Dry
173.3,91.9,14.2,11.1,365.5,Dry
173.5,87.8,14.8,18.9,377.1,Dry
173.8,86.3,12.6,17.2,374.3,Dry
174,89.9,14,15.1,361,Dry
174.3,90.1,12.5,16.3,371,Dry
174.5,94,13.2,14.9,390,Dry
174.8,90.1,14.1,15.6,396.5,Dry
175,91.7,14,18.1,400.3,Dry
175.3,93.2,13.6,17.3,394.6,Dry
175.5,97.8,14.3,16.6,389.3,Dry
175.8,100.4,13.1,16.5,378.4,Dry
176,99.4,14.2,16.3,392.2,Dry
176.3,94.4,13.5,13.4,404.4,Dry
176.5,97.4,13.8,14.2,400.2,Dry
176.8,92.8,13.7,14.1,399,Dry
177,93.2,13.8,15.8,392.5,Dry
177.3,88.3,14,16.1,396.8,Dry
177.5,88.7,14.5,14.4,396.8,Dry
177.8,97.2,14.2,17.7,395.5,Dry
178,100.1,14.8,16.9,405.2,Dry
178.3,99.7,14.3,14.6,414.7,Dry
178.5,98.1,15.5,13.4,411,Dry
178.8,97.1,15.6,16.3,389.3,Dry
179,98.5,15.1,15.5,389.3,Dry
179.3,99.4,15.6,16,391.4,Dry
179.5,105.2,15.6,16.4,393.5,Dry
179.8,106.2,16.7,16.7,413.2,Dry
180,110.1,16,18.1,420.6,Dry
180.3,107.8,15.9,15.4,396.6,Dry
180.5,102.9,15.2,16.5,389.5,Dry
180.8,103.3,15.5,15.4,409.8,Dry
181,101.3,15.6,18.2,412.9,Dry
181.3,103.9,15.5,16.6,417.3,Dry
181.5,99.2,15.8,18.5,437.8,Dry
181.8,92.1,16.8,16.5,458.5,Dry
182,93.8,17.8,17.1,453.2,Dry
182.3,93,17.3,18.8,427.2,Dry
182.5,94.8,15.8,17.5,405.3,Dry
182.8,104.4,15.3,17.7,412.9,Dry
183,110.6,15.5,17,426.4,Dry
183.3,105.6,15,15.1,412.2,Dry
183.5,104.9,15.3,16.7,388,Dry
183.8,101.6,15.1,17.3,371.2,Dry
184,97.6,15.3,17.2,373.7,Dry
184.3,104.3,15.1,16.2,397.6,Dry
184.5,100.4,14.9,17.4,407.2,Dry
184.8,96.6,15.3,15.1,409.5,Dry
185,100.1,15,16.7,415.3,Dry
185.3,102.6,15.7,18.1,402.2,Dry
185.5,103.7,15.7,17.4,380.5,Dry
185.8,107.2,15.6,17,394.8,Dry
186,105,15.8,16.4,414.2,Dry
186.3,106.8,15.4,16.6,402.3,Dry
186.5,109.2,15.5,16.9,397.5,Dry
186.8,104.3,15.1,17.3,391.7,Dry
187,106.8,15.4,16.5,393.9,Dry
187.3,103.5,15.3,17,415.4,Dry
187.5,98.1,15,16.4,435.5,Dry
187.8,99.6,14.9,16.6,434.5,Dry
188,97.4,15.5,17.7,448.2,Dry
188.3,101,16,17.5,449.7,Dry
188.5,111.2,17,17.2,447.9,Dry
188.8,112.8,17.1,18,450.5,Dry
189,114.7,16,17.6,436.4,Dry
189.3,123.9,16,16.9,439.9,Dry
189.5,116.6,15.9,16.6,448.7,Dry
189.8,111,15.7,15.4,443.7,Dry
190,109.9,15.7,17.6,445.9,Dry
190.3,110.7,15.3,16.1,459.4,Dry
190.5,110.6,14.6,17.5,453.9,Dry
190.8,111.5,14.8,19.7,453,Dry
191,107.6,15.8,18.3,459.9,Dry
191.3,110.5,15.3,17.4,458,Dry
191.5,111.4,15.2,19.7,486.9,Dry
191.8,107.4,16,17,493.2,Dry
192,107.6,17,18.3,490.4,Dry
192.3,105,17.5,19.6,512.4,Dry
192.5,103.1,16.6,18.5,518.3,Dry
192.8,107.8,16.3,17.9,502.9,Dry
193,112.7,15.7,18.3,500,Dry
193.3,116.3,15.9,16.5,499,Dry
193.5,116.9,15.8,17.2,489.5,Dry
193.8,116.7,15.4,17.9,497.9,Dry
194,113.1,15.9,16.5,490.3,Dry
194.3,112.5,15.8,17.5,474.2,Dry
194.5,110.4,15,17.6,495,Dry
194.8,113.3,15.4,15.1,504.7,Dry
195,118.3,15.6,16.2,493.5,Dry
195.3,108.3,15.1,18,486,Dry
195.5,103.7,15.6,19.2,478.8,Dry
195.8,105.3,15.6,16.9,467.1,Dry
196,105.4,16.2,18.1,455.2,Dry
196.3,104,16.1,19,458.2,Dry
196.5,100.5,16.2,17.5,462.5,Dry
196.8,104.9,16.3,16.3,468.6,Dry
197,97.3,16.3,19.7,493.6,Dry
197.3,101.5,16.4,17.2,508.5,Dry
197.5,105.5,16.8,18.4,510.3,Dry
197.8,108.9,16.3,17.5,509.2,Dry
198,111.8,16,16.9,520.4,Dry
198.3,114.3,16.2,17.5,543.3,Dry
198.5,110.6,15.7,15.4,545.2,Dry
198.8,109.6,16.2,17.7,528.7,Dry
199,109.7,15.9,17.8,529.5,Dry
199.3,109.1,15.7,17.9,543.6,Dry
199.5,104.5,15.8,18,556.3,Dry
199.8,107.3,15.6,18.3,552.7,Dry
200,103.1,15.7,18.1,529.5,Dry
200.3,106.2,15.9,17.2,533.6,Dry
200.5,112.2,15.8,17.7,563.5,Dry
200.8,113,15.6,18.2,550.3,Dry
201,118.5,15.7,17.7,545,Dry
201.3,116.8,15.8,18.3,541.8,Dry
201.5,119.1,15.6,18.4,539.4,Dry
201.8,119.3,15.9,19.2,540,Dry
202,119.7,15.9,18,531.3,Dry
202.3,121.9,15.8,18.1,547.3,Dry
202.5,117.7,15.9,18.4,538.8,Dry
202.8,118.2,15.9,19,543.6,Dry
203,114.6,15.5,17.8,553.2,Dry
203.3,109.5,15.9,18,530.6,Dry
203.5,108.5,15.8,17.7,520.6,Dry
203.8,106.2,16,17.4,525.4,Dry
204,110.6,16.1,17.1,534.3,Dry
204.3,114.8,15.9,17.1,536.7,Dry
